                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.1041,                0.56955,                0.89928,                0.99904,                      1,                  0.995,                 0.7123,                 1.0642,                0.65312,                0.95747,              0.0009506,              0.0009506,              0.0009506
                     56,                0.95916,                0.50095,                 0.9038,                      1,                0.99745,                  0.995,                0.76256,                0.91651,                0.56839,                0.91794,              0.0009308,              0.0009308,              0.0009308
                     57,                0.90119,                0.50644,                0.94922,                      1,                0.99745,                  0.995,                0.76256,                0.91651,                0.56839,                0.91794,               0.000911,               0.000911,               0.000911
                     58,                  1.029,                0.54105,                0.92371,                      1,                0.99843,                  0.995,                0.76348,                0.83333,                0.53618,                0.89572,              0.0008912,              0.0008912,              0.0008912
                     59,                0.96911,                0.48396,                0.91135,                      1,                0.99843,                  0.995,                0.76348,                0.83333,                0.53618,                0.89572,              0.0008714,              0.0008714,              0.0008714
                     60,                0.90811,                0.50959,                0.89391,                 0.9986,                      1,                  0.995,                0.75789,                0.86582,                0.54273,                0.90088,              0.0008516,              0.0008516,              0.0008516
                     61,                0.95568,                0.49064,                 0.8741,                 0.9986,                      1,                  0.995,                0.75789,                0.86582,                0.54273,                0.90088,              0.0008318,              0.0008318,              0.0008318
                     62,                0.98423,                0.52736,                 0.9021,                 0.9992,                      1,                  0.995,                0.74294,                 0.9365,                0.51312,                0.91547,               0.000812,               0.000812,               0.000812
                     63,                 1.0007,                0.49634,                0.89343,                 0.9992,                      1,                  0.995,                0.74294,                 0.9365,                0.51312,                0.91547,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.0478,                0.49024,                0.88484,                0.99915,                      1,                  0.995,                0.75902,                0.92591,                0.48055,                0.91455,              0.0007724,              0.0007724,              0.0007724
                     65,                0.86468,                0.44486,                0.92749,                0.99915,                      1,                  0.995,                0.75902,                0.92591,                0.48055,                0.91455,              0.0007526,              0.0007526,              0.0007526
                     66,                0.82416,                0.45364,                0.89011,                0.99921,                      1,                  0.995,                0.77277,                 0.8788,                0.47338,                0.90131,              0.0007328,              0.0007328,              0.0007328
                     67,                0.88665,                0.46811,                0.91076,                0.99921,                      1,                  0.995,                0.77277,                 0.8788,                0.47338,                0.90131,               0.000713,               0.000713,               0.000713
                     68,                0.94133,                0.48645,                0.88689,                 0.9992,                      1,                  0.995,                0.77496,                0.85856,                0.45199,                0.89457,              0.0006932,              0.0006932,              0.0006932
                     69,                0.93922,                0.48341,                0.93048,                 0.9992,                      1,                  0.995,                0.77496,                0.85856,                0.45199,                0.89457,              0.0006734,              0.0006734,              0.0006734
                     70,                 0.8816,                0.44993,                0.89644,                0.99916,                      1,                  0.995,                0.77499,                0.84635,                0.42701,                0.88936,              0.0006536,              0.0006536,              0.0006536
                     71,                0.98199,                0.49831,                0.91899,                0.99916,                      1,                  0.995,                0.77499,                0.84635,                0.42701,                0.88936,              0.0006338,              0.0006338,              0.0006338
                     72,                0.92225,                0.47363,                0.90372,                0.99913,                      1,                  0.995,                0.77799,                0.83947,                 0.4277,                0.88688,               0.000614,               0.000614,               0.000614
                     73,                0.94393,                0.46837,                0.95876,                0.99913,                      1,                  0.995,                0.77799,                0.83947,                 0.4277,                0.88688,              0.0005942,              0.0005942,              0.0005942
                     74,                0.85005,                0.46301,                0.87348,                0.99916,                      1,                  0.995,                0.78123,                0.84638,                0.43817,                0.89071,              0.0005744,              0.0005744,              0.0005744
                     75,                0.87041,                0.44816,                0.88159,                0.99916,                      1,                  0.995,                0.78123,                0.84638,                0.43817,                0.89071,              0.0005546,              0.0005546,              0.0005546
                     76,                0.91591,                0.44089,                0.87457,                0.99918,                      1,                  0.995,                0.77817,                0.83842,                0.44684,                0.88829,              0.0005348,              0.0005348,              0.0005348
                     77,                0.85621,                0.45865,                0.87406,                0.99918,                      1,                  0.995,                0.77817,                0.83842,                0.44684,                0.88829,               0.000515,               0.000515,               0.000515
                     78,                0.90579,                0.45754,                0.90518,                0.99913,                      1,                  0.995,                0.77715,                0.82602,                0.44719,                0.88631,              0.0004952,              0.0004952,              0.0004952
                     79,                0.82094,                0.43828,                0.88947,                0.99913,                      1,                  0.995,                0.77715,                0.82602,                0.44719,                0.88631,              0.0004754,              0.0004754,              0.0004754
                     80,                0.89329,                0.48934,                0.90053,                0.99907,                      1,                  0.995,                0.78981,                0.79616,                0.42404,                0.87963,              0.0004556,              0.0004556,              0.0004556
                     81,                0.85361,                0.45496,                0.90036,                0.99907,                      1,                  0.995,                0.78981,                0.79616,                0.42404,                0.87963,              0.0004358,              0.0004358,              0.0004358
                     82,                0.78152,                 0.4411,                0.87037,                0.99905,                      1,                  0.995,                0.80226,                0.75952,                0.41272,                0.87141,               0.000416,               0.000416,               0.000416
                     83,                0.86955,                0.43464,                0.91586,                0.99905,                      1,                  0.995,                0.80226,                0.75952,                0.41272,                0.87141,              0.0003962,              0.0003962,              0.0003962
                     84,                0.92322,                0.47972,                0.89175,                0.99911,                      1,                  0.995,                0.81486,                0.73234,                0.39762,                0.86573,              0.0003764,              0.0003764,              0.0003764
                     85,                0.80175,                0.43584,                0.83402,                0.99911,                      1,                  0.995,                0.81486,                0.73234,                0.39762,                0.86573,              0.0003566,              0.0003566,              0.0003566
                     86,                0.86059,                0.45188,                0.86676,                0.99916,                      1,                  0.995,                0.81773,                0.71963,                0.38886,                 0.8636,              0.0003368,              0.0003368,              0.0003368
                     87,                0.80477,                0.43302,                0.85858,                0.99916,                      1,                  0.995,                0.81773,                0.71963,                0.38886,                 0.8636,               0.000317,               0.000317,               0.000317
                     88,                0.97817,                0.44557,                0.95234,                0.99913,                      1,                  0.995,                0.82087,                0.72914,                0.38808,                0.86492,              0.0002972,              0.0002972,              0.0002972
                     89,                0.90908,                0.44554,                 0.9735,                0.99913,                      1,                  0.995,                0.82087,                0.72914,                0.38808,                0.86492,              0.0002774,              0.0002774,              0.0002774
                     90,                0.88493,                0.44734,                0.87433,                0.99914,                      1,                  0.995,                0.82204,                0.74212,                0.37884,                0.86695,              0.0002576,              0.0002576,              0.0002576
                     91,                0.89728,                0.46711,                0.94284,                0.99914,                      1,                  0.995,                0.82204,                0.74212,                0.37884,                0.86695,              0.0002378,              0.0002378,              0.0002378
                     92,                0.91056,                0.49246,                0.85133,                0.99918,                      1,                  0.995,                0.81828,                0.74357,                0.37448,                0.86691,               0.000218,               0.000218,               0.000218
                     93,                0.94519,                 0.4826,                 0.9293,                0.99918,                      1,                  0.995,                0.81828,                0.74357,                0.37448,                0.86691,              0.0001982,              0.0001982,              0.0001982
                     94,                0.81821,                0.42689,                 0.9053,                0.99917,                      1,                  0.995,                0.82625,                0.72635,                0.36681,                0.86381,              0.0001784,              0.0001784,              0.0001784
                     95,                0.84119,                0.44397,                0.90022,                0.99917,                      1,                  0.995,                0.82625,                0.72635,                0.36681,                0.86381,              0.0001586,              0.0001586,              0.0001586
                     96,                0.87607,                 0.4361,                0.87913,                0.99919,                      1,                  0.995,                0.83108,                0.71495,                0.36396,                0.86125,              0.0001388,              0.0001388,              0.0001388
                     97,                0.86146,                0.44118,                0.87725,                0.99919,                      1,                  0.995,                0.83108,                0.71495,                0.36396,                0.86125,               0.000119,               0.000119,               0.000119
                     98,                0.76311,                0.42343,                0.90605,                0.99915,                      1,                  0.995,                0.82688,                0.71139,                0.36285,                0.85964,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.78795,                0.41706,                0.87333,                0.99915,                      1,                  0.995,                0.82688,                0.71139,                0.36285,                0.85964,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.74701,                0.40797,                0.85174,                0.99914,                      1,                  0.995,                 0.8262,                0.70769,                0.36079,                0.85835,               5.96e-05,               5.96e-05,               5.96e-05
